,gender,age,internet_access,study_environment,sleep_hours,social_media_hours,math_score,reading_score,writing_score,science_score,final_exam_score,pass_fail,total_score,average
15,Male,15,Yes,Moderate,5.67,0.0,63.6,55.4,54.3,63.5,58.8,Pass,381.1,63.51666666666667
16,Female,17,Yes,Moderate,8.03,2.2,47.5,44.7,44.8,46.8,47.5,Fail,300.9,50.15
17,Female,17,Yes,Quiet,6.3,2.3,42.3,46.2,43.6,49.4,45.4,Fail,324.3,54.050000000000004
18,Female,18,Yes,Quiet,7.63,1.1,56.1,58.8,64.0,64.9,61.2,Pass,386.9,64.48333333333333
19,Male,17,Yes,Noisy,9.17,2.3,47.0,66.6,59.7,65.2,61.1,Pass,358.70000000000005,59.78333333333334
20,Female,16,No,Quiet,7.79,3.1,73.1,72.7,65.1,65.2,70.7,Pass,407.0,67.83333333333333
21,Male,15,Yes,Noisy,6.58,3.6,49.3,41.9,38.5,37.1,37.9,Fail,294.29999999999995,49.04999999999999
22,Female,17,Yes,Moderate,6.26,2.7,56.6,64.7,57.9,67.0,57.8,Pass,384.0,64.0
23,Female,15,Yes,Moderate,6.69,3.5,57.7,71.0,47.1,53.1,57.7,Pass,345.79999999999995,57.633333333333326
24,Female,15,Yes,Quiet,5.97,2.5,40.7,48.1,58.6,59.2,50.6,Pass,321.80000000000007,53.63333333333335
25,Female,15,Yes,Moderate,5.86,0.0,37.6,37.2,50.3,37.2,41.1,Fail,272.4,45.4
26,Female,17,Yes,Quiet,6.2,2.3,48.8,65.9,67.6,60.2,60.5,Pass,385.3,64.21666666666667
27,Female,17,Yes,Quiet,7.53,0.7,39.4,48.1,29.8,29.5,35.6,Fail,249.10000000000002,41.51666666666667
28,Female,15,Yes,Noisy,6.48,2.7,36.2,62.4,49.6,62.2,53.9,Pass,353.99999999999994,58.99999999999999
29,Female,16,Yes,Quiet,6.77,2.2,42.1,37.3,54.4,40.0,39.9,Fail,289.1,48.18333333333334
30,Male,15,Yes,Moderate,7.47,2.2,40.4,27.2,49.7,52.6,42.3,Fail,302.6,50.43333333333334
31,Male,16,Yes,Noisy,7.73,1.2,61.2,74.6,57.1,62.8,61.3,Pass,369.8,61.63333333333333
32,Female,15,No,Quiet,5.07,1.9,48.7,69.3,61.4,66.7,63.2,Pass,401.8,66.96666666666667
33,Female,18,Yes,Moderate,5.28,3.0,48.2,49.7,49.7,47.9,49.9,Fail,332.90000000000003,55.48333333333334
34,Female,15,No,Moderate,6.61,1.1,37.9,35.7,42.9,48.4,38.2,Fail,274.20000000000005,45.70000000000001
35,Male,15,Yes,Moderate,5.89,1.6,50.4,47.0,63.1,59.6,54.2,Pass,336.40000000000003,56.06666666666667
36,Female,17,No,Noisy,7.85,0.0,49.8,53.9,56.6,67.2,54.5,Pass,371.5,61.916666666666664
37,Male,16,Yes,Noisy,6.54,2.9,46.8,44.7,40.0,39.1,43.9,Fail,277.6,46.26666666666667
38,Male,18,Yes,Moderate,8.8,0.6,64.1,46.1,61.9,45.1,53.9,Pass,341.0,56.833333333333336
39,Male,16,Yes,Moderate,6.51,2.5,34.2,30.8,59.0,52.4,42.9,Fail,296.9,49.48333333333333
40,Male,18,Yes,Moderate,7.31,3.6,55.1,45.1,39.6,47.4,45.1,Fail,285.3,47.550000000000004
41,Male,15,Yes,Moderate,6.33,4.4,65.6,64.9,65.3,53.0,60.1,Pass,376.20000000000005,62.70000000000001
42,Female,17,Yes,Moderate,7.49,2.0,88.0,79.0,72.0,63.3,75.4,Pass,433.90000000000003,72.31666666666668
43,Female,17,Yes,Quiet,7.51,3.4,43.9,44.3,34.7,40.7,39.9,Fail,250.2,41.699999999999996
44,Female,16,Yes,Quiet,7.89,2.5,68.6,75.5,65.9,64.8,66.1,Pass,440.9,73.48333333333333
45,Female,17,Yes,Noisy,6.87,0.0,43.8,32.2,32.0,36.2,34.9,Fail,239.3,39.88333333333333
46,Female,16,Yes,Quiet,8.27,0.3,58.1,72.2,61.9,55.2,63.2,Pass,390.0,65.0
47,Male,16,Yes,Moderate,7.3,3.8,48.9,65.5,49.9,65.3,53.5,Pass,383.1,63.85
48,Female,18,Yes,Noisy,6.36,4.2,55.3,28.0,45.9,52.7,48.0,Fail,290.4,48.4
49,Female,16,No,Quiet,6.36,0.0,51.8,52.9,43.9,33.1,45.7,Fail,278.5,46.416666666666664
50,Male,18,Yes,Moderate,7.73,3.0,60.9,73.1,60.8,75.5,67.6,Pass,434.29999999999995,72.38333333333333
51,Female,17,No,Quiet,8.26,2.9,39.6,46.4,26.1,28.7,39.3,Fail,236.09999999999997,39.349999999999994
52,Male,16,Yes,Noisy,5.88,1.3,62.5,65.5,70.5,47.4,59.2,Pass,368.90000000000003,61.48333333333334
53,Female,16,No,Quiet,7.75,1.3,43.8,45.7,47.2,44.2,45.0,Fail,287.29999999999995,47.883333333333326
54,Male,15,Yes,Moderate,5.51,0.9,42.3,25.6,30.8,26.6,30.6,Fail,228.2,38.03333333333333
55,Female,16,Yes,Moderate,6.38,0.0,49.5,55.3,49.3,53.1,49.2,Fail,299.09999999999997,49.849999999999994
56,Female,16,Yes,Moderate,7.49,0.9,46.3,41.1,34.9,35.3,43.1,Fail,280.0,46.666666666666664
57,Male,15,Yes,Quiet,6.15,3.5,31.5,26.4,43.2,15.3,32.1,Fail,225.5,37.583333333333336
58,Male,15,Yes,Moderate,8.47,2.0,32.5,47.6,44.3,47.0,42.6,Fail,297.0,49.5
59,Male,17,Yes,Quiet,7.61,3.6,31.0,47.2,54.8,35.2,44.3,Fail,295.2,49.199999999999996
60,Male,16,Yes,Quiet,5.82,0.0,69.0,70.4,61.7,73.4,70.3,Pass,421.6,70.26666666666667
61,Male,17,Yes,Moderate,7.66,3.2,40.3,46.8,41.7,43.6,42.1,Fail,279.9,46.65
62,Male,17,Yes,Quiet,5.68,3.7,55.3,45.1,60.1,60.6,55.7,Pass,347.70000000000005,57.95000000000001
63,Male,15,Yes,Moderate,7.0,0.0,53.5,47.3,42.4,44.4,46.6,Fail,294.4,49.06666666666666
64,Male,18,Yes,Noisy,7.88,1.7,39.0,39.3,46.1,61.5,47.8,Fail,306.6,51.1
65,Female,17,Yes,Noisy,7.71,3.0,28.5,26.2,27.2,12.8,24.7,Fail,177.5,29.583333333333332
66,Female,18,Yes,Moderate,6.91,4.5,47.8,40.3,45.4,39.9,45.4,Fail,290.9,48.48333333333333
67,Male,16,Yes,Quiet,6.66,0.4,84.7,82.8,67.6,86.0,80.5,Pass,465.0,77.5
68,Female,15,Yes,Moderate,5.84,4.6,41.1,30.3,36.2,37.8,32.6,Fail,235.7,39.28333333333333
69,Female,16,No,Noisy,7.18,3.2,50.5,54.6,57.5,55.8,55.6,Pass,359.8,59.96666666666667
70,Female,16,Yes,Noisy,7.8,1.0,84.9,69.9,70.0,73.1,77.1,Pass,456.9,76.14999999999999
71,Female,15,Yes,Moderate,9.06,4.0,75.7,73.4,64.2,59.0,69.7,Pass,412.9,68.81666666666666
72,Male,16,Yes,Noisy,6.54,6.0,58.7,59.9,59.2,39.0,54.3,Pass,315.0,52.5
73,Female,15,Yes,Noisy,7.85,2.0,70.9,58.6,56.2,56.8,64.8,Pass,364.1,60.68333333333334
74,Male,18,Yes,Noisy,7.76,1.9,34.9,51.0,44.1,41.3,39.3,Fail,279.40000000000003,46.56666666666667
75,Female,16,Yes,Moderate,6.52,1.1,87.8,88.4,67.3,91.3,85.9,Pass,497.80000000000007,82.96666666666668
76,Female,15,Yes,Noisy,7.72,5.3,38.5,57.2,56.8,66.4,54.5,Pass,350.7,58.449999999999996
77,Female,17,Yes,Noisy,6.18,1.4,53.5,41.0,47.3,35.2,42.8,Fail,293.3,48.88333333333333
78,Male,16,Yes,Quiet,7.26,1.0,47.1,40.9,28.9,35.7,40.5,Fail,263.6,43.93333333333334
79,Female,18,Yes,Noisy,6.79,1.6,88.0,67.2,72.0,63.6,75.1,Pass,432.7,72.11666666666666
80,Male,15,Yes,Quiet,7.44,1.6,54.5,52.6,60.8,44.8,54.2,Pass,327.5,54.583333333333336
81,Female,16,No,Moderate,7.52,1.6,73.1,54.5,75.8,75.3,75.8,Pass,449.3,74.88333333333334
82,Male,16,Yes,Moderate,6.47,1.3,46.9,47.8,44.2,57.3,52.0,Pass,333.7,55.61666666666667
83,Female,16,Yes,Moderate,6.99,1.4,20.7,13.9,18.6,38.3,22.9,Fail,193.10000000000002,32.18333333333334
84,Male,18,Yes,Noisy,6.87,2.7,45.8,57.9,52.2,53.4,47.4,Fail,309.7,51.61666666666667
85,Male,15,Yes,Moderate,5.91,4.5,46.0,41.2,54.4,44.0,50.6,Pass,288.5,48.083333333333336
86,Female,17,Yes,Quiet,6.63,1.0,25.3,17.1,39.8,38.9,27.4,Fail,218.0,36.333333333333336
87,Male,17,Yes,Quiet,6.42,0.5,27.6,38.2,38.7,42.0,37.8,Fail,246.60000000000002,41.1
88,Female,17,No,Moderate,5.87,3.0,60.3,57.9,49.7,53.6,53.4,Pass,327.79999999999995,54.633333333333326
89,Female,15,Yes,Moderate,6.2,3.3,45.7,32.1,55.2,42.5,45.7,Fail,292.79999999999995,48.79999999999999
90,Female,17,Yes,Quiet,6.74,4.8,41.7,43.3,59.7,33.7,48.8,Fail,268.9,44.81666666666666
91,Female,18,Yes,Moderate,7.06,4.6,39.7,40.9,43.8,45.5,42.3,Fail,280.79999999999995,46.79999999999999
92,Female,15,Yes,Quiet,5.76,0.1,31.8,44.7,53.3,50.6,44.0,Fail,302.0,50.333333333333336
93,Female,16,Yes,Moderate,8.2,0.0,54.3,36.2,54.9,66.3,52.7,Pass,341.59999999999997,56.93333333333333
94,Female,18,No,Quiet,7.61,3.3,47.0,44.2,46.4,51.1,47.3,Fail,278.9,46.48333333333333
95,Female,16,No,Moderate,6.91,3.3,42.3,41.2,46.4,41.3,45.0,Fail,258.4,43.06666666666666
96,Female,17,Yes,Quiet,5.78,4.7,47.0,38.6,40.6,50.3,42.9,Fail,286.2,47.699999999999996
97,Female,18,Yes,Quiet,6.79,3.1,58.0,54.3,44.9,44.7,49.2,Fail,311.59999999999997,51.93333333333333
98,Female,15,Yes,Noisy,6.73,1.7,31.7,29.7,42.3,43.5,35.4,Fail,234.3,39.050000000000004
99,Male,18,Yes,Moderate,5.92,4.1,25.6,46.3,31.9,33.5,36.0,Fail,211.0,35.166666666666664
100,Male,16,Yes,Moderate,5.84,0.9,75.5,71.6,67.9,74.1,69.6,Pass,415.50000000000006,69.25000000000001
101,Female,15,Yes,Moderate,7.77,5.5,19.3,30.3,26.6,34.5,31.3,Fail,210.5,35.083333333333336
102,Female,18,Yes,Moderate,6.68,2.9,64.8,68.5,58.1,70.0,60.8,Pass,388.7,64.78333333333333
103,Female,18,Yes,Moderate,7.89,1.4,48.7,59.4,57.6,58.0,58.6,Pass,334.3,55.71666666666667
104,Female,18,Yes,Moderate,6.99,1.2,50.7,33.0,41.2,42.3,39.3,Fail,261.5,43.583333333333336
105,Female,18,Yes,Moderate,7.75,2.8,65.0,59.5,59.0,43.9,55.9,Pass,348.20000000000005,58.03333333333334
106,Female,15,Yes,Quiet,7.72,2.4,44.5,44.9,56.2,52.9,52.1,Pass,308.20000000000005,51.366666666666674
107,Female,16,Yes,Quiet,7.47,2.3,66.5,57.6,60.8,56.0,62.9,Pass,378.59999999999997,63.099999999999994
108,Female,18,Yes,Noisy,8.18,0.5,41.3,43.6,51.6,43.8,44.2,Fail,302.9,50.48333333333333
109,Male,15,Yes,Noisy,7.1,2.3,48.2,36.5,36.8,36.1,36.3,Fail,270.7,45.11666666666667
110,Female,16,Yes,Quiet,5.51,3.7,42.4,35.3,33.4,27.2,34.0,Fail,225.89999999999998,37.65
111,Male,18,Yes,Quiet,5.66,1.4,70.2,57.1,66.1,55.5,60.3,Pass,384.2,64.03333333333333
112,Female,16,Yes,Quiet,6.35,2.9,0.7,30.5,6.3,18.6,12.6,Fail,144.10000000000002,24.01666666666667
113,Female,16,Yes,Moderate,7.74,4.2,57.0,57.7,59.4,61.6,61.0,Pass,389.0,64.83333333333333
114,Male,15,Yes,Quiet,6.6,3.4,38.1,27.5,49.6,32.1,37.2,Fail,284.1,47.35
115,Female,16,Yes,Moderate,7.21,0.7,51.7,53.4,36.0,55.6,47.9,Fail,333.2,55.53333333333333
116,Male,15,Yes,Noisy,7.54,3.0,48.7,44.6,49.1,43.8,45.3,Fail,294.6,49.1
117,Female,18,Yes,Noisy,7.16,4.7,56.8,57.8,55.0,61.4,58.0,Pass,347.4,57.9
118,Female,16,Yes,Quiet,4.71,3.2,53.4,51.0,52.3,37.7,51.9,Pass,313.29999999999995,52.21666666666666
119,Male,16,Yes,Noisy,5.81,4.3,21.5,37.0,37.4,47.1,36.0,Fail,240.4,40.06666666666667
120,Female,17,Yes,Moderate,8.77,4.0,49.9,58.2,54.1,50.8,52.9,Pass,365.9,60.98333333333333
121,Male,18,Yes,Quiet,7.33,0.8,52.0,64.4,67.5,56.6,59.8,Pass,384.6,64.10000000000001
122,Female,18,Yes,Moderate,4.3,5.2,32.4,32.1,33.5,29.4,26.9,Fail,233.60000000000002,38.93333333333334
123,Male,17,Yes,Moderate,7.07,4.4,44.6,51.3,47.4,48.7,49.5,Fail,323.5,53.916666666666664
124,Male,17,Yes,Noisy,8.8,2.1,45.4,28.7,47.0,55.8,42.8,Fail,310.29999999999995,51.71666666666666
125,Female,15,Yes,Quiet,7.27,4.4,69.9,49.7,72.9,79.1,68.7,Pass,419.6,69.93333333333334
126,Female,15,Yes,Quiet,7.04,2.3,54.3,39.8,35.6,46.3,43.9,Fail,287.0,47.833333333333336
127,Male,16,Yes,Moderate,5.17,2.4,40.4,64.7,48.0,51.1,52.8,Pass,338.1,56.35
128,Female,16,Yes,Noisy,6.73,1.2,49.6,53.7,49.4,62.1,52.0,Pass,347.8,57.96666666666667
129,Female,16,Yes,Noisy,5.36,0.9,63.6,50.4,65.5,57.9,59.5,Pass,350.09999999999997,58.349999999999994
130,Female,16,Yes,Quiet,5.78,2.7,68.0,46.9,54.2,64.6,63.2,Pass,396.90000000000003,66.15
131,Male,15,Yes,Quiet,5.55,2.1,49.3,36.8,44.4,57.4,48.2,Fail,296.90000000000003,49.48333333333334
132,Male,18,No,Noisy,8.74,0.3,36.3,40.7,47.3,53.3,45.5,Fail,316.2,52.699999999999996
133,Male,16,Yes,Moderate,7.73,3.0,47.5,59.9,35.6,34.7,43.6,Fail,288.9,48.15
134,Male,18,No,Noisy,8.4,3.3,35.7,39.5,41.0,38.4,40.7,Fail,282.70000000000005,47.116666666666674
135,Male,16,Yes,Noisy,5.68,2.9,41.0,40.3,43.9,23.9,37.2,Fail,257.1,42.85
136,Male,17,No,Quiet,7.19,2.9,35.4,44.5,30.8,29.5,36.6,Fail,225.2,37.53333333333333
137,Male,16,No,Moderate,5.99,3.1,46.3,77.2,53.1,62.9,63.0,Pass,388.5,64.75
138,Male,16,No,Quiet,6.1,2.7,37.4,40.1,47.3,33.6,42.2,Fail,292.70000000000005,48.78333333333334
139,Male,16,Yes,Noisy,7.47,3.0,67.3,59.0,74.6,74.0,70.6,Pass,415.4,69.23333333333333
140,Female,15,Yes,Moderate,7.18,3.3,64.8,66.0,50.9,57.9,60.3,Pass,382.80000000000007,63.80000000000001
141,Male,17,No,Noisy,7.29,1.6,45.9,65.5,51.0,46.5,52.6,Pass,321.1,53.51666666666667
142,Female,16,Yes,Noisy,5.74,0.6,90.5,85.4,74.9,85.8,84.4,Pass,491.9,81.98333333333333
143,Female,16,Yes,Quiet,7.13,3.0,68.7,86.3,77.4,72.5,78.1,Pass,469.6,78.26666666666667
144,Female,18,Yes,Quiet,7.35,2.7,45.5,50.0,44.4,47.9,45.3,Fail,308.8,51.46666666666667
145,Male,17,Yes,Moderate,6.32,3.2,41.6,43.0,37.9,42.9,42.6,Fail,285.7,47.61666666666667
146,Male,16,Yes,Noisy,6.73,4.2,42.9,32.0,40.2,48.0,45.0,Fail,293.5,48.916666666666664
147,Male,18,Yes,Noisy,5.35,2.4,56.6,65.4,64.3,75.9,63.9,Pass,421.40000000000003,70.23333333333333
148,Male,18,Yes,Noisy,4.84,2.3,32.7,48.8,39.4,38.8,37.6,Fail,284.29999999999995,47.383333333333326
149,Female,15,Yes,Moderate,9.01,3.2,45.0,46.2,39.2,56.5,48.8,Fail,310.7,51.78333333333333
150,Male,18,Yes,Quiet,7.2,1.0,71.5,68.4,65.8,63.6,68.8,Pass,407.90000000000003,67.98333333333333
151,Male,16,Yes,Quiet,6.64,2.6,63.9,41.8,33.8,48.3,48.1,Fail,308.8,51.46666666666667
152,Male,15,Yes,Quiet,7.8,2.3,48.7,60.2,62.1,55.4,58.4,Pass,335.5,55.916666666666664
153,Male,15,Yes,Moderate,6.13,3.8,39.3,46.4,51.1,49.9,45.6,Fail,306.29999999999995,51.04999999999999
154,Male,16,Yes,Noisy,7.11,1.8,41.0,46.9,37.9,54.3,47.4,Fail,280.3,46.71666666666667
155,Female,17,Yes,Quiet,8.11,2.6,57.0,44.6,43.6,56.0,52.5,Pass,318.1,53.01666666666667
156,Male,18,Yes,Noisy,5.9,2.3,39.1,34.6,42.5,24.4,33.4,Fail,255.3,42.550000000000004
157,Female,15,Yes,Quiet,6.51,0.0,56.4,55.4,55.5,62.2,56.6,Pass,350.20000000000005,58.366666666666674
158,Male,17,Yes,Quiet,5.62,1.7,61.2,71.0,70.2,56.6,64.6,Pass,414.70000000000005,69.11666666666667
159,Female,16,Yes,Moderate,7.84,2.5,23.3,34.1,45.1,33.6,33.4,Fail,238.9,39.81666666666667
160,Male,18,Yes,Moderate,7.21,1.2,74.2,68.6,74.0,74.9,72.9,Pass,452.70000000000005,75.45
161,Male,18,Yes,Noisy,8.17,2.3,60.8,55.6,54.8,52.3,57.9,Pass,347.29999999999995,57.883333333333326
162,Female,15,No,Moderate,7.84,4.5,18.2,32.8,20.9,31.4,22.4,Fail,194.10000000000002,32.35
163,Female,18,Yes,Quiet,6.74,3.9,57.4,59.4,44.0,42.5,51.1,Pass,341.7,56.949999999999996
164,Female,18,Yes,Noisy,7.41,0.0,68.1,39.3,39.0,51.3,48.8,Fail,313.8,52.300000000000004
165,Male,18,No,Noisy,7.42,3.6,71.9,52.7,66.3,61.2,63.3,Pass,391.0,65.16666666666667
166,Female,18,Yes,Moderate,7.73,3.3,53.6,42.0,45.7,71.4,52.4,Pass,328.70000000000005,54.78333333333334
167,Male,16,Yes,Quiet,8.47,2.4,36.2,43.5,44.1,45.1,42.1,Fail,246.6,41.1
168,Male,17,Yes,Quiet,5.91,0.0,47.7,56.3,53.1,51.2,48.2,Fail,317.5,52.916666666666664
169,Female,16,Yes,Quiet,5.12,3.7,53.1,60.2,63.4,46.2,52.1,Pass,366.9000000000001,61.15000000000001
170,Female,16,Yes,Quiet,5.95,1.9,48.2,58.1,47.6,49.3,51.9,Pass,330.1,55.01666666666667
171,Male,15,No,Noisy,7.47,2.8,47.0,53.5,42.4,49.7,47.3,Fail,323.30000000000007,53.88333333333335
172,Male,18,Yes,Quiet,7.41,1.0,48.0,50.1,58.4,57.1,56.6,Pass,354.1,59.01666666666667
173,Female,16,Yes,Moderate,6.43,1.4,90.9,92.9,96.5,81.0,93.9,Pass,536.9000000000001,89.48333333333335
174,Female,18,Yes,Moderate,6.73,3.9,28.5,30.8,36.5,32.2,29.9,Fail,251.8,41.96666666666667
175,Female,16,Yes,Noisy,6.17,4.9,57.5,53.3,52.6,67.9,59.7,Pass,356.2,59.36666666666667
176,Male,16,Yes,Quiet,6.89,1.9,48.4,64.4,61.6,66.6,61.5,Pass,394.8,65.8
177,Male,15,Yes,Moderate,6.31,4.8,35.6,27.8,28.7,39.1,35.2,Fail,246.50000000000003,41.083333333333336
178,Male,17,Yes,Quiet,8.64,1.9,9.9,40.1,28.9,37.7,29.4,Fail,222.7,37.11666666666667
179,Male,17,Yes,Quiet,8.32,1.8,43.5,42.7,46.8,45.1,43.8,Fail,261.09999999999997,43.51666666666666
180,Male,16,Yes,Quiet,7.72,0.4,61.7,61.4,62.6,69.9,60.4,Pass,392.0,65.33333333333333
181,Male,15,Yes,Moderate,7.03,3.2,69.6,80.6,66.6,60.2,70.2,Pass,431.0,71.83333333333333
182,Female,18,Yes,Quiet,8.14,2.2,53.0,46.2,39.2,53.2,48.8,Fail,313.90000000000003,52.31666666666667
183,Male,18,Yes,Moderate,7.1,2.3,46.0,63.0,52.7,54.9,51.8,Pass,357.2,59.53333333333333
184,Male,16,Yes,Quiet,7.16,1.9,69.2,63.1,55.1,56.6,62.1,Pass,395.5,65.91666666666667
185,Male,17,Yes,Noisy,5.27,1.0,46.1,53.5,51.3,55.1,48.3,Fail,320.09999999999997,53.349999999999994
186,Female,15,Yes,Moderate,7.26,3.4,46.2,34.5,38.0,26.4,36.8,Fail,253.49999999999997,42.24999999999999
187,Male,17,Yes,Noisy,5.71,2.4,49.1,49.5,45.6,55.5,51.5,Pass,317.2,52.86666666666667
188,Male,18,Yes,Quiet,6.6,3.7,69.1,72.2,66.2,61.8,63.8,Pass,396.8,66.13333333333334
189,Female,17,Yes,Noisy,7.17,1.1,49.9,49.2,57.4,54.2,52.2,Pass,334.4,55.73333333333333
190,Male,18,Yes,Moderate,6.1,2.9,63.7,44.5,51.4,44.9,48.2,Fail,326.2,54.36666666666667
191,Male,15,Yes,Quiet,7.48,5.7,40.8,39.4,30.7,36.6,38.0,Fail,224.1,37.35
192,Male,15,Yes,Moderate,8.05,1.4,48.2,66.0,44.1,53.1,53.2,Pass,334.0,55.666666666666664
193,Male,16,Yes,Moderate,6.12,1.8,67.2,45.0,58.1,63.1,60.2,Pass,369.70000000000005,61.616666666666674
194,Male,16,Yes,Noisy,7.12,1.8,46.9,48.7,37.0,52.4,46.9,Fail,303.8,50.63333333333333
195,Female,17,Yes,Moderate,5.75,0.9,54.6,38.5,49.1,49.1,49.4,Fail,309.6,51.6
196,Female,15,Yes,Quiet,5.83,5.0,34.5,51.0,38.9,47.5,46.2,Fail,272.90000000000003,45.48333333333334
197,Female,15,Yes,Quiet,7.31,0.0,45.5,45.8,41.5,42.6,42.9,Fail,268.7,44.78333333333333
198,Male,16,Yes,Moderate,7.71,0.7,56.9,59.0,56.5,69.9,58.1,Pass,362.40000000000003,60.400000000000006
199,Male,18,Yes,Quiet,5.49,3.2,19.8,18.3,22.5,16.3,20.6,Fail,140.3,23.383333333333336
200,Male,17,No,Moderate,9.05,1.4,43.7,35.4,34.6,47.4,41.6,Fail,272.1,45.35
201,Female,17,Yes,Moderate,6.5,2.5,41.0,35.7,35.1,36.2,35.4,Fail,240.8,40.13333333333333
202,Male,16,No,Noisy,7.21,2.5,42.4,53.5,43.2,35.6,43.2,Fail,290.90000000000003,48.48333333333334
203,Male,15,Yes,Moderate,6.47,3.2,46.4,60.6,63.8,60.2,60.5,Pass,353.1,58.85
204,Female,16,Yes,Moderate,6.72,2.6,42.4,40.3,48.2,36.3,43.3,Fail,251.3,41.88333333333333
205,Male,16,Yes,Quiet,8.52,1.9,56.3,62.3,62.6,68.9,66.0,Pass,371.40000000000003,61.900000000000006
206,Female,16,Yes,Quiet,8.51,2.7,53.0,48.3,56.2,58.3,50.1,Pass,338.70000000000005,56.45000000000001
207,Female,16,Yes,Noisy,5.35,2.2,41.5,34.7,51.2,44.0,43.2,Fail,296.3,49.38333333333333
208,Female,18,Yes,Noisy,6.44,5.0,32.7,15.3,25.2,41.7,26.0,Fail,206.8,34.46666666666667
209,Male,18,Yes,Moderate,9.95,1.6,59.2,46.9,42.8,38.5,51.2,Pass,312.4,52.06666666666666
210,Male,15,Yes,Noisy,6.57,3.3,43.6,45.2,39.7,45.0,48.6,Fail,289.3,48.21666666666667
211,Male,16,Yes,Moderate,7.42,3.9,46.5,47.0,52.6,54.6,47.7,Fail,315.2,52.53333333333333
212,Male,18,Yes,Noisy,8.14,0.5,61.4,74.8,75.8,66.7,69.9,Pass,406.40000000000003,67.73333333333333
213,Male,15,Yes,Quiet,7.85,0.8,52.2,39.2,30.9,42.2,42.0,Fail,276.0,46.0
214,Male,16,Yes,Moderate,4.18,5.4,34.2,17.1,25.4,16.8,21.8,Fail,176.1,29.349999999999998
215,Male,17,Yes,Moderate,7.33,1.5,83.2,71.8,92.9,87.8,86.3,Pass,512.7,85.45
216,Female,18,Yes,Moderate,8.75,2.5,58.5,67.2,57.6,46.5,55.6,Pass,345.3,57.550000000000004
217,Male,15,Yes,Quiet,7.03,2.2,45.4,61.6,42.7,58.5,52.0,Pass,332.79999999999995,55.46666666666666
218,Female,17,Yes,Moderate,5.96,2.4,38.2,41.3,34.6,42.3,39.4,Fail,249.79999999999998,41.63333333333333
219,Male,16,Yes,Moderate,5.98,1.9,42.7,34.0,26.2,46.7,35.9,Fail,252.50000000000003,42.083333333333336
220,Male,16,Yes,Quiet,6.8,2.7,26.3,35.2,39.2,37.2,33.2,Fail,225.90000000000003,37.650000000000006
221,Male,16,Yes,Moderate,7.68,1.3,36.4,51.6,49.0,60.6,45.4,Fail,304.5,50.75
222,Female,18,Yes,Moderate,9.89,2.2,63.0,72.8,74.8,67.9,68.5,Pass,431.6,71.93333333333334
223,Female,15,Yes,Noisy,6.71,0.0,73.4,80.9,88.8,73.7,77.7,Pass,463.8,77.3
224,Female,17,Yes,Moderate,7.56,2.3,48.9,59.8,55.8,43.1,50.5,Pass,340.5,56.75
225,Female,15,Yes,Quiet,5.46,3.0,63.2,54.7,59.7,64.5,59.0,Pass,367.90000000000003,61.31666666666667
226,Male,18,Yes,Moderate,5.32,3.9,35.0,27.8,35.6,28.9,30.9,Fail,239.20000000000002,39.86666666666667
227,Female,15,Yes,Quiet,6.5,4.2,46.2,46.1,66.7,52.0,50.9,Pass,344.2,57.36666666666667
228,Male,18,Yes,Moderate,7.45,1.9,36.3,30.9,46.3,28.8,37.4,Fail,260.4,43.4
