Unnamed: 0,gender,age,internet_access,study_environment,sleep_hours,social_media_hours,math_score,reading_score,writing_score,science_score,final_exam_score,pass_fail,total_score,average
5278,Male,16,No,Moderate,8.32,3.7,42.7,44.8,41.5,45.3,40.9,Fail,274.5,45.75
1919,Male,15,No,Quiet,7.35,5.3,30.5,29.9,34.8,41.9,32.8,Fail,224.9,37.48333333333333
718,Female,18,No,Moderate,7.15,2.5,54.9,49.2,43.1,53.1,51.4,Pass,329.0,54.833333333333336
4868,Male,18,Yes,Moderate,7.55,2.2,43.2,49.6,54.6,35.4,49.3,Fail,306.0,51.0
7834,Male,18,No,Noisy,7.18,5.6,35.9,43.5,40.6,25.5,36.5,Fail,249.6,41.6
1298,Male,18,Yes,Quiet,5.82,2.5,53.6,61.6,48.8,52.2,55.4,Pass,364.1,60.68333333333333
9193,Male,15,Yes,Quiet,5.04,1.8,39.6,52.3,42.4,51.3,44.7,Fail,330.3,55.05
4617,Male,15,Yes,Quiet,7.55,0.0,47.3,39.4,48.8,42.8,44.8,Fail,272.1,45.35
3128,Male,15,Yes,Noisy,5.24,0.5,47.6,52.3,43.6,59.7,54.4,Pass,341.5,56.91666666666666
9795,Male,16,Yes,Moderate,7.25,2.7,44.5,56.5,48.5,51.5,53.3,Pass,305.1,50.85
3979,Female,15,Yes,Moderate,6.61,1.2,54.6,61.4,41.9,53.7,50.7,Pass,328.1,54.68333333333334
9924,Male,16,Yes,Quiet,5.96,4.1,54.0,42.2,58.5,45.1,48.8,Fail,327.5,54.583333333333336
8317,Female,18,Yes,Moderate,5.85,2.5,20.8,37.4,25.9,28.6,29.8,Fail,196.7,32.78333333333333
4393,Female,15,Yes,Moderate,5.54,3.2,50.7,46.7,37.8,45.5,46.0,Fail,323.4,53.9
1287,Female,15,Yes,Moderate,7.59,1.8,75.8,62.8,70.0,64.3,67.8,Pass,429.8,71.63333333333333
4355,Male,16,Yes,Quiet,8.35,3.0,40.1,45.1,48.7,43.2,41.8,Fail,278.6,46.43333333333334
7013,Male,15,Yes,Moderate,7.29,6.2,28.5,42.4,49.0,35.1,35.2,Fail,252.5,42.083333333333336
3885,Female,18,Yes,Noisy,7.39,0.0,24.8,34.3,32.4,13.8,24.7,Fail,208.9,34.81666666666667
5749,Male,17,Yes,Moderate,8.28,1.2,53.3,56.0,55.1,56.2,56.9,Pass,371.8,61.96666666666667
9169,Male,16,Yes,Quiet,6.56,1.7,40.1,36.2,32.7,34.5,37.6,Fail,238.0,39.66666666666666
2407,Male,16,Yes,Noisy,7.94,3.1,40.9,56.9,42.1,58.3,50.5,Pass,318.29999999999995,53.04999999999999
2013,Female,16,Yes,Quiet,6.87,2.6,36.1,25.1,45.8,36.9,38.6,Fail,272.0,45.333333333333336
5153,Male,18,Yes,Moderate,8.75,3.6,71.9,64.4,78.9,60.9,68.8,Pass,437.2000000000001,72.86666666666667
8551,Female,18,Yes,Noisy,6.29,1.8,52.2,47.3,40.2,55.4,49.0,Fail,312.3,52.05
4376,Male,15,Yes,Quiet,7.56,3.1,40.0,46.3,41.7,50.3,44.9,Fail,282.8,47.13333333333333
8822,Female,15,Yes,Moderate,8.62,2.0,74.4,58.8,75.9,56.0,67.5,Pass,401.1,66.85000000000001
4273,Female,15,Yes,Moderate,7.56,0.4,67.9,74.4,70.5,70.0,70.4,Pass,434.6,72.43333333333334
5825,Female,17,No,Moderate,6.84,1.9,45.5,62.8,38.2,64.3,52.8,Pass,349.0,58.16666666666666
6699,Male,15,Yes,Quiet,5.9,3.3,39.0,45.6,49.8,55.9,48.7,Fail,318.5,53.083333333333336
7243,Male,18,Yes,Moderate,6.69,2.1,46.3,39.6,56.6,56.2,49.6,Fail,303.79999999999995,50.633333333333326
449,Female,17,Yes,Moderate,6.69,1.3,29.9,53.8,49.3,68.0,49.3,Fail,307.3,51.21666666666667
2227,Male,16,Yes,Moderate,7.05,1.5,57.3,58.4,52.2,46.4,56.2,Pass,345.3,57.55
5756,Male,18,Yes,Quiet,6.15,2.5,35.2,43.8,35.3,39.4,38.1,Fail,266.79999999999995,44.46666666666666
810,Male,18,Yes,Quiet,5.88,4.3,50.5,53.1,54.4,62.4,53.9,Pass,335.40000000000003,55.900000000000006
4180,Male,18,Yes,Moderate,5.74,2.9,60.4,53.9,55.6,58.5,60.6,Pass,384.1,64.01666666666667
9000,Male,15,Yes,Noisy,7.23,1.5,55.8,46.8,48.6,59.9,55.1,Pass,351.2,58.53333333333333
5438,Male,15,No,Moderate,6.94,2.0,45.5,47.3,48.0,60.1,47.0,Fail,319.9,53.31666666666666
7533,Male,15,Yes,Quiet,7.26,0.0,54.3,28.3,43.7,38.7,42.8,Fail,286.1,47.68333333333334
6369,Female,18,Yes,Moderate,6.54,3.4,39.3,47.8,40.3,49.9,45.3,Fail,271.9,45.31666666666666
8416,Female,17,Yes,Quiet,6.29,0.4,35.0,31.7,34.4,30.5,36.0,Fail,230.5,38.41666666666666
1477,Female,16,Yes,Moderate,6.71,2.1,52.4,40.3,46.2,56.9,51.3,Pass,329.69999999999993,54.94999999999999
1790,Male,15,Yes,Quiet,7.07,2.9,60.0,48.1,38.5,59.7,50.0,Pass,317.40000000000003,52.900000000000006
2008,Male,15,No,Quiet,5.27,0.7,55.3,57.8,28.3,36.3,44.7,Fail,297.9,49.65
682,Male,17,No,Quiet,6.4,1.5,37.2,40.6,27.1,32.4,30.7,Fail,229.1,38.18333333333333
2816,Female,15,Yes,Noisy,7.52,3.2,27.8,42.3,43.3,62.8,45.6,Fail,302.5,50.41666666666666
9431,Female,16,Yes,Moderate,5.88,2.5,39.9,43.6,43.2,41.8,39.9,Fail,284.1,47.35
3774,Male,15,Yes,Quiet,7.47,4.0,43.6,59.0,67.1,51.2,54.3,Pass,375.2,62.53333333333333
6495,Male,17,Yes,Noisy,8.02,1.9,54.9,56.4,60.1,59.6,57.7,Pass,356.5,59.41666666666666
8878,Male,18,Yes,Quiet,7.43,1.3,61.5,58.2,47.4,54.7,52.7,Pass,319.1,53.18333333333334
7361,Male,15,Yes,Moderate,5.93,3.4,32.8,40.8,40.8,42.7,40.3,Fail,293.4,48.9
8366,Male,15,No,Moderate,7.0,2.0,21.0,25.4,27.3,42.4,30.0,Fail,213.9,35.65
7474,Female,15,Yes,Noisy,6.86,1.6,51.8,45.8,38.5,43.7,43.1,Fail,304.7,50.78333333333333
46,Female,16,Yes,Quiet,8.27,0.3,58.1,72.2,61.9,55.2,63.2,Pass,390.0,65.0
30,Male,15,Yes,Moderate,7.47,2.2,40.4,27.2,49.7,52.6,42.3,Fail,302.6,50.43333333333334
8250,Male,15,Yes,Moderate,8.2,2.7,33.8,32.8,33.0,42.7,35.3,Fail,243.90000000000003,40.650000000000006
6935,Male,17,Yes,Moderate,5.66,2.7,50.3,41.5,51.3,37.2,43.6,Fail,268.2,44.7
1468,Female,15,Yes,Moderate,7.36,4.1,30.1,33.9,40.0,29.4,36.0,Fail,255.7,42.61666666666667
1665,Female,18,Yes,Moderate,5.8,4.5,22.3,30.1,22.7,32.2,25.2,Fail,190.3,31.71666666666667
1416,Male,17,Yes,Quiet,7.69,1.7,60.4,62.3,66.6,54.6,59.4,Pass,373.69999999999993,62.28333333333333
6480,Male,15,No,Moderate,6.34,3.7,67.4,52.2,47.9,60.9,56.1,Pass,345.4,57.56666666666666
4852,Male,15,Yes,Noisy,5.14,3.3,36.9,39.1,50.4,54.8,43.9,Fail,283.6,47.26666666666667
2470,Female,18,Yes,Quiet,8.36,3.3,49.6,61.2,60.7,68.2,63.3,Pass,347.6,57.93333333333334
4373,Male,16,Yes,Quiet,6.51,2.2,46.2,57.1,33.6,50.9,46.7,Fail,315.2,52.53333333333333
8524,Male,17,Yes,Quiet,8.0,2.7,35.2,31.0,34.8,42.6,34.7,Fail,237.8,39.63333333333333
429,Female,15,Yes,Moderate,6.21,2.4,48.9,46.4,52.9,35.4,45.0,Fail,289.6,48.26666666666667
5244,Male,15,Yes,Moderate,6.6,1.5,64.6,64.9,78.3,71.2,66.6,Pass,395.1,65.85000000000001
2119,Female,18,Yes,Quiet,6.56,0.4,71.9,56.7,67.7,59.0,61.6,Pass,374.00000000000006,62.33333333333334
385,Female,15,Yes,Noisy,8.78,3.3,60.6,62.4,68.6,71.9,66.7,Pass,394.5,65.75
1945,Female,17,Yes,Moderate,4.7,2.1,61.9,61.4,72.9,44.0,60.3,Pass,361.2,60.2
4224,Female,16,Yes,Quiet,7.01,3.2,31.0,34.7,16.8,23.9,24.8,Fail,185.5,30.916666666666668
473,Female,18,Yes,Quiet,7.36,0.8,55.8,50.5,60.3,48.7,51.3,Pass,360.5,60.083333333333336
2129,Female,16,Yes,Quiet,7.44,3.3,53.9,30.4,42.0,64.6,48.9,Fail,306.79999999999995,51.133333333333326
6556,Male,15,No,Quiet,6.58,2.3,55.7,50.2,52.0,53.5,49.3,Fail,360.0,60.0
6998,Male,15,No,Moderate,7.27,0.7,77.0,65.5,81.3,62.7,72.6,Pass,413.6,68.93333333333334
1055,Male,15,No,Moderate,6.98,4.1,33.9,39.8,39.4,32.4,34.5,Fail,241.4,40.23333333333333
3274,Female,17,Yes,Noisy,6.11,0.7,42.7,53.9,44.3,52.8,45.3,Fail,299.9,49.98333333333333
4961,Male,18,Yes,Quiet,7.19,0.2,83.8,73.5,76.1,69.8,74.7,Pass,460.6,76.76666666666667
5363,Female,18,Yes,Moderate,6.39,1.0,34.2,22.8,43.8,38.7,37.6,Fail,239.9,39.98333333333333
5816,Female,17,Yes,Quiet,6.27,0.8,41.4,49.8,35.3,25.6,39.4,Fail,232.3,38.71666666666667
811,Male,17,No,Moderate,6.31,2.2,44.9,45.9,28.9,47.6,43.9,Fail,275.4,45.9
4573,Male,18,Yes,Noisy,7.04,1.9,58.3,43.9,42.2,46.8,46.9,Fail,319.6,53.26666666666667
6137,Male,18,Yes,Noisy,5.56,1.6,65.1,50.5,54.0,59.6,57.1,Pass,340.7,56.78333333333333
2388,Male,17,No,Quiet,8.38,3.1,50.7,60.0,38.6,66.7,56.1,Pass,328.5,54.75
9648,Female,17,Yes,Quiet,7.5,5.1,47.0,54.3,62.7,48.8,52.6,Pass,328.8,54.8
6225,Male,16,Yes,Quiet,7.03,3.6,59.7,41.3,61.3,47.0,51.1,Pass,325.6,54.26666666666667
111,Male,18,Yes,Quiet,5.66,1.4,70.2,57.1,66.1,55.5,60.3,Pass,384.2,64.03333333333333
8909,Female,15,Yes,Moderate,6.48,4.2,42.8,44.1,30.0,52.7,41.3,Fail,281.30000000000007,46.88333333333335
1745,Female,15,Yes,Quiet,6.74,2.7,39.1,42.8,51.4,48.9,45.4,Fail,276.6,46.1
7851,Male,16,Yes,Quiet,7.23,2.6,48.3,40.1,63.1,46.2,48.7,Fail,328.6,54.76666666666666
1452,Female,18,Yes,Moderate,8.73,0.3,98.4,83.6,76.2,76.3,84.0,Pass,514.5,85.75
319,Female,18,No,Moderate,6.17,2.1,27.0,35.8,40.7,44.4,38.2,Fail,246.00000000000003,41.00000000000001
8593,Male,16,Yes,Quiet,8.13,3.7,44.7,50.1,46.5,54.3,46.6,Fail,313.20000000000005,52.20000000000001
3333,Female,18,Yes,Moderate,6.0,4.7,32.9,43.4,44.3,39.2,36.2,Fail,267.1,44.51666666666667
1922,Female,16,Yes,Noisy,6.93,0.0,50.5,44.5,47.0,51.7,47.2,Fail,305.79999999999995,50.96666666666666
5865,Male,18,Yes,Noisy,6.54,3.3,50.7,53.3,45.1,47.3,50.0,Pass,318.2,53.03333333333333
9528,Male,16,Yes,Quiet,7.46,5.1,50.6,68.9,63.5,60.0,61.5,Pass,378.2,63.03333333333333
3685,Female,16,Yes,Noisy,7.41,2.0,55.1,53.2,56.1,65.8,59.7,Pass,360.1,60.01666666666666
4275,Male,17,Yes,Quiet,7.9,2.1,83.1,87.0,84.4,81.0,85.6,Pass,508.7000000000001,84.78333333333335
4889,Male,18,Yes,Quiet,8.91,2.3,51.9,58.4,36.4,43.3,49.0,Fail,305.7,50.95
5225,Female,18,Yes,Quiet,7.51,0.8,50.6,48.7,49.7,50.3,50.0,Pass,341.4,56.9
7472,Female,18,Yes,Quiet,7.19,0.4,24.7,43.1,46.2,55.9,40.2,Fail,256.90000000000003,42.81666666666667
3605,Male,18,Yes,Noisy,6.54,3.2,40.2,22.8,53.0,34.3,36.8,Fail,231.50000000000003,38.583333333333336
1052,Male,16,No,Noisy,8.51,4.5,36.4,35.4,31.8,22.7,35.0,Fail,237.0,39.5
4156,Female,15,Yes,Moderate,6.37,1.9,64.5,71.6,62.7,69.6,66.1,Pass,413.3,68.88333333333334
9676,Male,16,Yes,Quiet,9.17,2.5,65.8,60.2,46.4,53.6,55.7,Pass,372.5,62.083333333333336
99,Male,18,Yes,Moderate,5.92,4.1,25.6,46.3,31.9,33.5,36.0,Fail,211.0,35.166666666666664
7508,Male,17,Yes,Noisy,7.28,2.7,38.2,63.0,47.5,49.2,48.7,Fail,322.9,53.81666666666666
1456,Female,18,Yes,Quiet,6.69,1.3,50.2,55.6,62.5,59.6,57.4,Pass,365.5,60.91666666666666
7688,Female,18,Yes,Quiet,7.16,0.1,60.7,63.5,66.4,65.4,64.2,Pass,395.8,65.96666666666665
4004,Female,15,Yes,Quiet,8.15,1.5,44.0,47.9,39.1,44.6,42.3,Fail,281.7,46.95
6866,Male,18,Yes,Noisy,8.53,5.2,52.4,49.9,49.7,44.4,44.3,Fail,325.29999999999995,54.21666666666666
4509,Female,17,Yes,Quiet,7.74,0.0,52.4,59.1,56.7,38.2,51.5,Pass,350.1,58.35
3299,Male,16,Yes,Quiet,6.19,1.9,63.4,63.9,72.2,58.6,62.6,Pass,393.4,65.56666666666668
3799,Male,15,Yes,Moderate,7.42,4.5,27.3,41.4,26.1,49.9,36.9,Fail,238.3,39.71666666666667
4281,Female,17,Yes,Moderate,4.18,0.1,82.6,61.8,73.7,74.4,71.4,Pass,448.0,74.66666666666667
9051,Male,15,Yes,Moderate,7.91,0.6,33.1,41.2,42.0,47.0,39.9,Fail,265.8,44.3
6462,Female,15,Yes,Quiet,7.5,4.8,56.4,37.9,34.2,48.6,46.1,Fail,279.5,46.583333333333336
7912,Female,16,Yes,Quiet,6.93,3.7,64.5,69.7,70.3,66.7,65.1,Pass,436.3,72.71666666666665
1414,Female,15,Yes,Quiet,6.36,5.1,45.9,44.0,47.5,62.1,49.4,Fail,315.4,52.56666666666666
540,Male,16,No,Moderate,5.27,4.7,74.8,58.7,51.4,68.5,62.3,Pass,375.6,62.6
5815,Male,17,Yes,Noisy,6.84,2.9,32.2,32.0,44.3,52.2,37.5,Fail,251.9,41.98333333333333
8199,Male,16,Yes,Moderate,5.91,4.5,39.5,45.6,40.8,40.9,38.8,Fail,284.69999999999993,47.44999999999999
3680,Male,15,Yes,Quiet,7.9,0.5,73.4,63.0,48.1,57.7,62.7,Pass,360.0,60.0
754,Female,17,Yes,Noisy,8.56,3.2,53.3,62.5,61.1,46.3,53.7,Pass,350.6,58.43333333333333
4196,Male,16,Yes,Quiet,7.32,3.5,68.9,47.6,50.4,59.6,54.5,Pass,346.1,57.68333333333334
2650,Female,16,Yes,Moderate,7.47,1.8,77.3,75.0,78.6,68.4,75.1,Pass,411.3,68.55
4522,Male,16,Yes,Moderate,7.24,4.9,47.2,48.4,55.3,41.0,50.6,Pass,342.5,57.083333333333336
9519,Male,15,No,Moderate,7.96,2.0,63.9,41.7,36.1,54.6,47.6,Fail,319.4,53.23333333333333
3118,Female,15,Yes,Noisy,6.55,2.8,62.3,41.6,36.0,42.6,45.1,Fail,268.3,44.71666666666667
3728,Male,15,Yes,Moderate,5.98,0.7,50.2,39.8,46.6,49.1,46.7,Fail,322.2,53.7
3886,Female,18,Yes,Moderate,8.78,4.7,36.4,35.6,36.7,34.8,36.6,Fail,252.9,42.15
7107,Female,17,Yes,Quiet,6.97,4.5,34.1,52.0,42.1,22.8,36.6,Fail,245.9,40.98333333333333
8068,Female,18,Yes,Quiet,6.2,0.7,71.6,54.1,53.9,52.3,57.8,Pass,355.2,59.2
7325,Female,15,Yes,Moderate,7.83,2.2,80.6,59.2,75.3,55.0,65.8,Pass,414.6,69.10000000000001
8483,Female,16,Yes,Quiet,8.0,1.8,62.7,49.6,58.4,49.2,52.1,Pass,349.6,58.26666666666667
8767,Male,17,Yes,Moderate,5.88,3.6,49.4,46.1,31.3,38.0,41.6,Fail,279.5,46.583333333333336
6500,Female,18,Yes,Quiet,7.6,1.6,42.7,54.4,47.7,45.7,46.6,Fail,333.0,55.5
8426,Female,17,No,Quiet,8.11,3.7,58.2,57.0,58.5,57.4,58.0,Pass,353.70000000000005,58.95000000000001
7963,Male,18,No,Noisy,6.48,0.3,44.9,41.0,30.4,37.5,40.1,Fail,242.2,40.36666666666667
601,Female,16,No,Quiet,6.11,2.7,44.7,45.1,50.4,37.7,45.5,Fail,282.8,47.13333333333333
9249,Female,18,Yes,Noisy,4.65,3.5,34.1,34.1,39.5,32.4,33.5,Fail,253.3,42.21666666666667
8919,Female,16,Yes,Quiet,7.29,1.2,44.8,29.5,57.3,50.1,43.9,Fail,292.4,48.73333333333333
6814,Male,15,Yes,Moderate,6.27,3.2,38.5,46.7,46.6,49.9,45.4,Fail,283.90000000000003,47.31666666666667
5411,Male,17,Yes,Moderate,6.41,4.1,24.7,38.1,48.1,44.9,40.8,Fail,281.8,46.96666666666667
8747,Female,18,No,Quiet,7.13,1.1,74.9,47.3,45.4,38.5,51.0,Pass,313.20000000000005,52.20000000000001
5522,Male,18,Yes,Quiet,5.96,1.4,57.2,48.7,51.7,70.1,57.8,Pass,364.0,60.66666666666666
1044,Female,18,Yes,Moderate,7.3,1.5,42.8,51.4,31.5,38.6,41.2,Fail,284.8,47.46666666666667
7334,Male,17,Yes,Moderate,7.36,3.4,53.2,71.1,59.6,52.9,59.4,Pass,362.7,60.45
1557,Male,17,Yes,Noisy,7.7,1.0,57.5,33.7,41.4,51.5,43.3,Fail,297.5,49.583333333333336
3739,Female,15,Yes,Quiet,5.48,1.4,54.3,56.7,59.1,64.5,55.8,Pass,335.9,55.98333333333333
3522,Female,17,Yes,Moderate,7.09,2.8,70.4,64.9,57.5,64.1,65.3,Pass,408.0,68.0
180,Male,16,Yes,Quiet,7.72,0.4,61.7,61.4,62.6,69.9,60.4,Pass,392.0,65.33333333333333
2115,Female,16,Yes,Quiet,6.65,0.0,58.8,55.2,50.4,72.9,59.3,Pass,341.8,56.96666666666667
1699,Female,16,Yes,Quiet,7.92,1.3,37.7,36.4,42.8,50.3,41.5,Fail,290.4,48.4
1379,Female,17,Yes,Quiet,8.0,1.3,52.8,52.4,62.2,67.2,59.0,Pass,354.9,59.15
7229,Female,16,Yes,Moderate,7.11,2.0,55.1,65.6,68.6,69.1,66.6,Pass,393.5,65.58333333333333
9143,Male,17,Yes,Moderate,6.99,1.3,55.5,45.7,43.7,46.4,45.6,Fail,312.2,52.03333333333333
618,Male,15,Yes,Moderate,7.47,1.1,39.8,46.9,40.0,43.0,40.1,Fail,274.7,45.78333333333333
3181,Male,16,Yes,Noisy,7.89,0.0,49.8,53.1,48.3,35.3,45.4,Fail,292.5,48.75
9851,Male,18,Yes,Moderate,7.69,4.9,40.8,44.1,48.2,33.5,37.3,Fail,265.20000000000005,44.20000000000001
1600,Female,16,Yes,Noisy,7.14,2.5,65.1,69.9,54.7,73.2,62.0,Pass,408.7,68.11666666666666
5963,Female,17,Yes,Noisy,8.12,1.6,88.0,83.1,80.4,96.5,84.9,Pass,478.6,79.76666666666667
1615,Male,17,Yes,Quiet,7.31,2.5,42.6,45.7,48.7,44.4,43.5,Fail,315.1,52.51666666666667
5920,Male,17,Yes,Moderate,6.03,3.5,46.2,53.4,43.5,37.1,42.7,Fail,274.79999999999995,45.79999999999999
9591,Male,18,Yes,Quiet,6.41,5.5,60.5,52.2,45.8,46.4,46.6,Fail,333.0,55.5
3891,Male,18,Yes,Moderate,7.02,1.4,41.6,25.4,42.0,36.7,35.0,Fail,229.8,38.3
2083,Female,17,Yes,Moderate,6.66,5.1,31.6,25.8,44.1,35.5,35.0,Fail,242.8,40.46666666666667
4574,Male,18,Yes,Quiet,7.4,4.0,64.4,66.4,62.2,73.3,65.8,Pass,390.1,65.01666666666667
5594,Female,17,Yes,Quiet,4.87,3.7,56.3,42.5,47.2,45.4,48.1,Fail,305.4,50.9
5121,Female,16,Yes,Quiet,6.95,2.1,57.0,59.2,55.0,48.4,51.7,Pass,337.4,56.23333333333333
4587,Male,15,Yes,Quiet,7.63,1.8,56.7,71.1,69.9,57.7,65.1,Pass,393.1,65.51666666666667
4902,Female,15,Yes,Quiet,8.33,2.2,54.4,48.1,60.3,48.6,53.5,Pass,318.79999999999995,53.133333333333326
8252,Female,16,Yes,Quiet,7.64,1.3,44.4,31.2,26.7,43.4,37.5,Fail,221.4,36.9
5916,Male,16,Yes,Quiet,6.62,5.4,51.5,50.9,55.5,39.4,50.1,Pass,316.5,52.75
5129,Female,15,Yes,Moderate,7.15,5.2,21.3,32.8,35.0,41.9,31.1,Fail,224.1,37.35
8334,Male,17,Yes,Noisy,6.46,0.2,66.1,71.7,78.1,67.0,70.5,Pass,417.2,69.53333333333333
1918,Male,15,Yes,Quiet,8.6,3.9,51.8,48.7,32.0,45.9,43.4,Fail,298.0,49.66666666666666
8330,Female,15,No,Moderate,8.32,2.7,41.3,58.1,50.3,58.5,51.2,Pass,342.5,57.083333333333336
5707,Female,17,Yes,Quiet,6.59,3.6,56.8,35.5,48.7,42.6,47.5,Fail,304.2,50.7
5384,Female,17,No,Moderate,8.65,1.7,44.3,59.1,49.6,72.3,58.6,Pass,373.4,62.23333333333334
6336,Male,17,Yes,Noisy,7.82,2.0,37.6,37.4,42.3,32.4,38.1,Fail,253.1,42.18333333333333
2054,Male,15,Yes,Quiet,6.47,2.3,24.5,30.3,22.5,32.0,28.8,Fail,221.1,36.85
7612,Male,16,No,Noisy,5.92,3.8,62.8,68.6,63.8,70.7,68.0,Pass,400.3,66.71666666666665
9209,Female,15,Yes,Quiet,6.58,6.2,25.7,22.0,15.0,20.1,22.5,Fail,166.3,27.71666666666667
3963,Male,15,Yes,Moderate,7.67,0.7,62.3,59.6,71.8,59.1,65.6,Pass,383.2,63.86666666666667
1126,Female,18,Yes,Quiet,8.08,1.1,81.9,91.7,86.1,89.3,85.8,Pass,510.6000000000001,85.10000000000001
3428,Female,17,Yes,Moderate,5.55,3.7,31.1,26.8,17.7,40.9,27.1,Fail,193.3,32.21666666666667
4601,Male,15,Yes,Moderate,7.89,1.6,59.8,53.8,54.2,42.2,57.7,Pass,338.6,56.43333333333334
3721,Male,18,Yes,Quiet,6.73,0.0,59.0,64.7,63.6,65.9,64.6,Pass,392.3,65.38333333333334
2389,Female,16,Yes,Quiet,6.87,3.1,49.4,58.8,47.2,52.9,54.6,Pass,325.29999999999995,54.21666666666666
1322,Male,16,Yes,Noisy,6.36,4.1,43.1,39.7,36.8,33.1,37.0,Fail,265.1,44.18333333333334
1603,Male,16,Yes,Noisy,6.39,2.9,33.9,20.8,42.7,44.0,36.0,Fail,235.8,39.3
7224,Female,15,Yes,Quiet,8.92,2.7,52.9,68.7,56.8,71.0,65.6,Pass,360.0,60.0
7425,Female,18,No,Moderate,6.28,4.8,47.6,62.9,63.2,52.5,51.9,Pass,373.9,62.31666666666666
4336,Female,18,Yes,Quiet,6.88,2.5,72.0,61.0,83.2,66.5,71.7,Pass,406.5,67.75
5593,Female,16,Yes,Quiet,7.51,4.3,50.1,62.2,60.7,64.5,59.9,Pass,365.4,60.9
4411,Female,15,Yes,Quiet,7.12,3.1,45.3,37.7,43.7,43.8,40.1,Fail,280.7,46.78333333333333
5858,Male,15,No,Quiet,5.7,2.6,41.1,36.7,47.4,46.1,44.4,Fail,255.3,42.55
9343,Female,17,Yes,Quiet,6.88,1.9,73.1,90.2,68.5,75.1,78.3,Pass,484.4,80.73333333333333
3991,Male,17,Yes,Moderate,6.51,0.0,47.7,54.2,59.6,59.9,58.5,Pass,354.7,59.11666666666667
6079,Female,17,Yes,Quiet,6.07,2.4,41.5,42.9,31.4,25.9,33.5,Fail,264.90000000000003,44.150000000000006
1559,Male,17,Yes,Moderate,6.29,0.5,55.4,56.3,39.1,35.5,48.8,Fail,295.79999999999995,49.29999999999999
4682,Male,18,Yes,Noisy,6.66,0.0,54.5,50.8,49.1,58.6,54.3,Pass,352.3,58.71666666666667
